,osm_address,district
0,"Москва, улица Егора Абакумова, 9",Лось
1,"Москва, улица Талалихина, 2/1",Таганский район
2,"Москва, Абельмановская улица, 6",Таганский район
3,"Москва, Абрамцевская улица, 1",район Лианозово
4,"Москва, Абрамцевская улица, 9",район Лианозово
6,"Москва, переулок Сивцев Вражек, 6/2",район Арбат
7,"Москва, Авиамоторная улица, 8",район Лефортово
8,"Москва, Авиамоторная улица, 47",район Лефортово
9,"Москва, Авиамоторная улица, 49/1",район Лефортово
11,"Москва, улица Авиаторов, 14",район Солнцево
12,"Москва, улица Авиаторов, 16",район Солнцево
13,"Москва, Азовская улица, 3",район Зюзино
14,"Москва, Азовская улица, 4",район Зюзино
15,"Москва, Большая Академическая улица, 65",район Коптево
16,"Москва, Филипповский переулок, 15/5",район Арбат
17,"Москва, Алтайская улица, 33/7",район Гольяново
18,"Москва, Алтуфьевское шоссе, 14",район Отрадное
19,"Москва, Алтуфьевское шоссе, 56",Алтуфьевский район
20,"Москва, Алтуфьевское шоссе, 102Б",район Бибирево
23,"Москва, Ангарская улица, 1",район Западное Дегунино
24,"Москва, Ангарская улица, 39",Дмитровский район
25,"Москва, проспект Андропова, 17",район Нагатинский Затон
26,"Москва, проспект Андропова, 26",район Нагатино-Садовники
27,"Москва, проспект Андропова, 30",район Нагатино-Садовники
28,"Москва, проспект Андропова, 35А",район Нагатинский Затон
29,"Москва, проспект Андропова, 38",район Нагатино-Садовники
30,"Москва, улица Арбат, 4",район Арбат
31,"Москва, улица Арбат, 6/2",район Арбат
32,"Москва, улица Арбат, 23",район Арбат
33,"Москва, улица Арбат, 25/36",район Арбат
34,"Москва, улица Арбат, 29",район Арбат
35,"Москва, улица Арбат, 31",район Арбат
36,"Москва, улица Арбат, 32",район Арбат
37,"Москва, улица Арбат, 36/2",район Арбат
38,"Москва, улица Арбат, 45/24",район Арбат
39,"Москва, улица Арбат, 47/23",район Арбат
40,"Москва, улица Артамонова, 7",район Фили-Давыдково
41,"Москва, Астраханский переулок, 1/15",Напрудное
42,"Москва, Астраханский переулок, 5/9",Напрудное
43,"Москва, Бабаевская улица, 3",район Сокольники
44,"Москва, улица Ивана Бабушкина, 15",Академический район
45,"Москва, улица Ивана Бабушкина, 17",Академический район
46,"Москва, Байкальская улица, 31",район Гольяново
47,"Москва, Бакинская улица, 29",район Царицыно
48,"Москва, Балаклавский проспект, 48",район Зюзино
49,"Москва, Балаклавский проспект, 54",район Зюзино
50,"Москва, 1-й Балтийский переулок, 3/25",район Аэропорт
