,index,osm_address,street_name
0,0,"Москва, улица Егора Абакумова, 9",улица Егора Абакумова
1,1,"Москва, улица Талалихина, 2/1",улица Талалихина
2,2,"Москва, Абельмановская улица, 6",Абельмановская улица
3,3,"Москва, Абрамцевская улица, 1",Абрамцевская улица
4,4,"Москва, Абрамцевская улица, 9",Абрамцевская улица
6,6,"Москва, переулок Сивцев Вражек, 6/2",переулок Сивцев Вражек
7,7,"Москва, Авиамоторная улица, 8",Авиамоторная улица
8,8,"Москва, Авиамоторная улица, 47",Авиамоторная улица
9,9,"Москва, Авиамоторная улица, 49/1",Авиамоторная улица
11,11,"Москва, улица Авиаторов, 14",улица Авиаторов
12,12,"Москва, улица Авиаторов, 16",улица Авиаторов
13,13,"Москва, Азовская улица, 3",Азовская улица
14,14,"Москва, Азовская улица, 4",Азовская улица
15,15,"Москва, Большая Академическая улица, 65",Большая Академическая улица
16,16,"Москва, Филипповский переулок, 15/5",Филипповский переулок
17,17,"Москва, Алтайская улица, 33/7",Алтайская улица
18,18,"Москва, Алтуфьевское шоссе, 14",Алтуфьевское шоссе
19,19,"Москва, Алтуфьевское шоссе, 56",Алтуфьевское шоссе
20,20,"Москва, Алтуфьевское шоссе, 102Б",Алтуфьевское шоссе
23,23,"Москва, Ангарская улица, 1",Ангарская улица
24,24,"Москва, Ангарская улица, 39",Ангарская улица
25,25,"Москва, проспект Андропова, 17",проспект Андропова
26,26,"Москва, проспект Андропова, 26",проспект Андропова
27,27,"Москва, проспект Андропова, 30",проспект Андропова
28,28,"Москва, проспект Андропова, 35А",проспект Андропова
29,29,"Москва, проспект Андропова, 38",проспект Андропова
30,30,"Москва, улица Арбат, 4",улица Арбат
31,31,"Москва, улица Арбат, 6/2",улица Арбат
32,32,"Москва, улица Арбат, 23",улица Арбат
33,33,"Москва, улица Арбат, 25/36",улица Арбат
34,34,"Москва, улица Арбат, 29",улица Арбат
35,35,"Москва, улица Арбат, 31",улица Арбат
36,36,"Москва, улица Арбат, 32",улица Арбат
37,37,"Москва, улица Арбат, 36/2",улица Арбат
38,38,"Москва, улица Арбат, 45/24",улица Арбат
39,39,"Москва, улица Арбат, 47/23",улица Арбат
40,40,"Москва, улица Артамонова, 7",улица Артамонова
41,41,"Москва, Астраханский переулок, 1/15",Астраханский переулок
42,42,"Москва, Астраханский переулок, 5/9",Астраханский переулок
43,43,"Москва, Бабаевская улица, 3",Бабаевская улица
44,44,"Москва, улица Ивана Бабушкина, 15",улица Ивана Бабушкина
45,45,"Москва, улица Ивана Бабушкина, 17",улица Ивана Бабушкина
46,46,"Москва, Байкальская улица, 31",Байкальская улица
47,47,"Москва, Бакинская улица, 29",Бакинская улица
48,48,"Москва, Балаклавский проспект, 48",Балаклавский проспект
49,49,"Москва, Балаклавский проспект, 54",Балаклавский проспект
50,50,"Москва, 1-й Балтийский переулок, 3/25",1-й Балтийский переулок
51,51,"Москва, улица Барклая, 16",улица Барклая
52,52,"Москва, Новая Басманная улица, 12",Новая Басманная улица
53,53,"Москва, Бауманская улица, 33/2",Бауманская улица
54,54,"Москва, Бауманская улица, 35/1",Бауманская улица
55,55,"Москва, Татарская улица, 14",Татарская улица
56,56,"Москва, Башиловская улица, 3",Башиловская улица
57,57,"Москва, Башиловская улица, 19",Башиловская улица
58,58,"Москва, Башиловская улица, 21",Башиловская улица
59,59,"Москва, Беговая улица, 7",Беговая улица
60,60,"Москва, Беговая улица, 17",Беговая улица
61,61,"Москва, Беговая улица, 28",Беговая улица
62,62,"Москва, улица Демьяна Бедного, 4",улица Демьяна Бедного
63,63,"Москва, Белореченская улица, 13",Белореченская улица
64,64,"Москва, Бережковская набережная, 8",Бережковская набережная
65,65,"Москва, Бережковская набережная, 14",Бережковская набережная
66,66,"Москва, улица Берзарина, 8",улица Берзарина
67,67,"Москва, Бескудниковский бульвар, 40",Бескудниковский бульвар
68,68,"Москва, Бескудниковский бульвар, 57",Бескудниковский бульвар
69,69,"Москва, Бибиревская улица, 7",Бибиревская улица
70,70,"Москва, улица Маршала Бирюзова, 4",улица Маршала Бирюзова
71,71,"Москва, улица Маршала Бирюзова, 9",улица Маршала Бирюзова
72,72,"Москва, улица Маршала Бирюзова, 12",улица Маршала Бирюзова
73,73,"Москва, улица Маршала Бирюзова, 13",улица Маршала Бирюзова
74,74,"Москва, улица Маршала Бирюзова, 16",улица Маршала Бирюзова
75,75,"Москва, улица Маршала Бирюзова, 19",улица Маршала Бирюзова
76,76,"Москва, улица Маршала Бирюзова, 21",улица Маршала Бирюзова
77,77,"Москва, улица Маршала Бирюзова, 22",улица Маршала Бирюзова
78,78,"Москва, улица Маршала Бирюзова, 28",улица Маршала Бирюзова
79,79,"Москва, Бойцовая улица, 17",Бойцовая улица
80,80,"Москва, Коктебельская улица, 11",Коктебельская улица
82,82,"Москва, 1-й Боткинский проезд, 2/6",1-й Боткинский проезд
83,83,"Москва, улица Академика Бочвара, 7",улица Академика Бочвара
84,84,"Москва, улица Бочкова, 5",улица Бочкова
85,85,"Москва, 2-я Брестская улица, 24/15",2-я Брестская улица
